Canonical URL,Implementation,Audience,Authentication,Entry point,Back path,Inbound links,Outbound links,Status,Dependencies,Review state,Registry surface,Discovered as
/api/bna/service-providers,server.js:44032 | server.js:44042,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/service-providers/:id,server.js:44195,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/service-providers/:id/setup-email,server.js:44317,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/session/workspace,server.js:62766,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/shoutouts,server.js:64148 | server.js:64176,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/shoutouts/:id/approve,server.js:64216,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/signups,server.js:43618,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/signups/:id,server.js:43666,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/signups/:id/communications,server.js:40838,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/signups/:id/send-confirmation,server.js:42737,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/student-badges/:id/reverse,server.js:64013,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_manual_badge_reversal,route-registry | server-post
/api/bna/student-badges/rabbi-award,server.js:63864,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_rabbi_badge_award,route-registry | server-post
/api/bna/student-bot-settings,server.js:47834,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/students,server.js:47259 | server.js:47381,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/students/:id,server.js:47558 | server.js:53517,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-delete | server-patch
/api/bna/students/:id/access-code,server.js:47817,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/students/:id/bot-settings/:channel,server.js:47908,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-put
/api/bna/students/:id/bot-settings/:channel/preview,server.js:48007,student,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-get
/api/bna/students/:id/communications,server.js:40848,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/students/:id/devices,server.js:49034,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/students/:id/goal-board,server.js:49332 | server.js:49361,student,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
